Date,Num1,Num2,Num3,Num4,Num5,Num6,Addl
21/02/26,3,15,25,26,32,38,38
18/02/26,7,20,38,43,48,50,
17/02/26,5,11,24,26,32,44,
15/02/26,2,16,31,38,43,48,
14/02/26,7,13,20,28,51,54,
11/02/26,12,18,19,32,39,41,39
10/02/26,1,9,29,37,39,52,
08/02/26,2,10,11,28,35,55,10
07/02/26,6,10,19,32,41,54,"19,32"
04/02/26,1,16,19,20,32,40,40
01/02/26,10,23,25,26,40,48,
31/01/26,3,12,33,34,36,44,"3,33,34"
28/01/26,3,5,19,26,33,34,19
27/01/26,18,19,40,43,51,52,51
25/01/26,10,20,38,45,46,51,
24/01/26,9,19,22,44,48,54,
21/01/26,13,23,26,28,45,50,
18/01/26,5,7,32,40,43,49,43
17/01/26,6,12,26,43,45,53,43
14/01/26,7,22,33,42,43,44,43
11/01/26,4,5,13,34,43,55,
10/01/26,3,9,11,37,44,51,37
07/01/26,6,25,30,37,41,52,30
04/01/26,7,15,30,38,39,54,
03/01/26,12,20,22,42,52,55,55
31/12/25,8,19,28,47,49,55,
30/12/25,15,18,22,37,45,54,
28/12/25,2,8,12,29,39,51,
27/12/25,9,17,38,45,48,52,
24/12/25,10,14,20,23,31,35,
21/12/25,1,33,41,42,45,52,45
20/12/25,5,8,11,18,20,45,20
17/12/25,1,17,20,24,36,47,47
14/12/25,7,23,30,41,47,53,"41,47"
13/12/25,3,15,16,41,44,47,41
10/12/25,8,27,40,41,52,55,
07/12/25,20,24,33,37,38,49,20
06/12/25,20,25,42,43,44,55,
03/12/25,4,12,28,33,34,54,54
30/11/25,17,25,32,50,53,54,50
29/11/25,4,9,26,40,47,50,47
26/11/25,5,19,34,42,43,47,43
23/11/25,2,4,38,43,51,52,
22/11/25,1,36,37,39,47,48,"36,47,48"
19/11/25,5,8,20,36,47,48,"47,48"
16/11/25,16,30,39,47,48,51,
15/11/25,1,17,25,27,40,44,27
12/11/25,15,24,27,28,33,36,27
09/11/25,3,13,27,37,39,46,"3,46"
08/11/25,3,9,17,18,30,46,
05/11/25,8,12,15,21,28,38,12
02/11/25,5,12,27,49,50,55,"12,49"
01/11/25,12,24,28,38,49,52,49
29/10/25,7,17,18,19,33,49,
28/10/25,2,9,39,43,51,52,
26/10/25,6,14,34,36,48,53,36
25/10/25,1,7,13,36,47,49,
22/10/25,3,4,6,14,16,20,
19/10/25,1,23,30,35,37,52,1
18/10/25,1,14,48,53,54,55,
15/10/25,12,16,17,19,36,44,19
12/10/25,9,11,19,25,38,39,
11/10/25,2,14,16,33,41,49,
08/10/25,1,3,13,19,34,48,"1,13"
05/10/25,1,2,13,15,23,44,15
04/10/25,15,22,29,35,36,39,
01/10/25,5,7,12,34,52,55,
28/09/25,17,24,46,47,49,54,"24,54"
27/09/25,8,23,24,33,37,54,24
24/09/25,24,29,40,44,46,51,51
21/09/25,13,14,18,22,51,53,"14,22"
20/09/25,3,12,14,15,22,25,
17/09/25,37,38,39,41,46,51,
14/09/25,22,40,43,44,48,49,
13/09/25,5,8,27,30,46,50,
10/09/25,1,9,16,19,20,45,9
07/09/25,9,10,23,32,36,42,"32,36"
06/09/25,14,25,31,32,33,36,14
03/09/25,3,14,20,23,39,43,"23,39"
31/08/25,1,16,23,35,39,40,
30/08/25,3,9,11,24,29,49,
27/08/25,6,7,17,22,44,45,"17,45"
24/08/25,4,16,17,31,35,45,
23/08/25,11,28,30,40,42,52,
20/08/25,1,14,34,36,43,53,14
17/08/25,2,5,11,14,25,32,2
16/08/25,2,3,15,22,50,53,
13/08/25,10,31,33,39,40,51,
10/08/25,11,12,15,45,47,49,
09/08/25,13,14,20,33,39,44,
06/08/25,11,12,16,21,40,42,
03/08/25,1,10,34,38,41,53,
